post_id,published_at,topic,impact,impact_score,impact_horizon,companies,instruments,urgency_score,judge_score,ghost_quotes,ghost_numbers,steps,tools_used,estimated_tokens,estimated_cost_usd,summary
markettwits/374877,2026-06-22T05:12:52Z,geopolitics,not_company_specific,0,intraday,,,5,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,861,0.000182,"🇮🇷 #иран #геополитика #today Вчера иранские СМИ пестрили заголовками о том, что иранская делегация покинула переговоры с США в знак протеста на новые угрозы Трампа. Также сообщалось о том, что Иранская..."
markettwits/374878,2026-06-22T05:16:27Z,sector_trend,neutral,0,unclear,,CHINA_AI,3,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,224,9.3e-05,"🇷🇺 #ии #россия Власти передумали запрещать в России иностранные нейросети . IT-системы, в которые они уже внедрены, смогут работать на них до 2032г — Известия"
markettwits/374879,2026-06-22T05:22:30Z,regulation,neutral,0,short_term,,,3,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,519,0.000134,🇷🇺 #ии #россия Правительство подготовило к внесению законопроект об ИИ . Документ может быть внесен в Госдуму до конца недели. — Ъ В новой версии документа под регулирование подпадают только большие...
markettwits/374880,2026-06-22T05:24:31Z,commodities,not_company_specific,0,unclear,,GAS,3,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,314,0.000106,"🛢 🇪🇺 #газ #спг #европа #азия ""Каждый сам за себя"": Европа предупредила о растущей конкуренции за энергоносители со стороны Азии -- Politico"
markettwits/374881,2026-06-22T05:28:37Z,sector_trend,neutral,0,unclear,,,3,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,205,9e-05,"🇷🇺 #авто #россия #отчетность НБКИ: в мае число выдач автокредитов за год увеличилось на 3,3% г/г"
markettwits/374882,2026-06-22T05:31:10Z,geopolitics,not_company_specific,0,short_term,,,3,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,384,0.000115,🇮🇷 #иран #геополитика Технические команды США и Ирана до конца недели продолжат консультации в Швейцарии — совместное заявление Катара и Пакистана
markettwits/374883,2026-06-22T05:34:09Z,crypto,negative,-1,unclear,,CRYPTO,5,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,58,7e-05,⚠️ ✴️ #хак #крипто Taiko взломан
markettwits/374884,2026-06-22T05:38:14Z,crypto,negative,-2,intraday,AVLT,AVLT;CRYPTO,7,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,566,0.000141,"⚠️ ✴️ #AVLT = 12% DeFi-проект Altura закрывает хранилище стейблкоинов после рекордного количества запросов на вывод средств, поступивших в выходные дни."
markettwits/374885,2026-06-22T05:40:00Z,other,mixed,0,medium_term,,,7,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,769,0.000169,"⚠️ 🇨🇳 #экономика #китай #прогноз Goldman понизил прогноз роста ВВП Китая во 2кв до 3,5%"
markettwits/374886,2026-06-22T05:46:15Z,other,neutral,0,unclear,,,3,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,82,7.3e-05,🇧🇷 🇷🇺 #дедолларизация #бразилия #россия #fx Бразилия хочет использовать нацвалюты в расчетах с Россией — посол - РИА
markettwits/374887,2026-06-22T05:47:45Z,other,negative,-1,medium_term,,PAWNSHOPS_RU,6,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,675,0.000156,⚠️ 🇷🇺 #ломбарды #россия Ломбарды начнут массово закрываться в 2026 г — Известия Почти 50% участников рынка завершили 2025 год с отрицательной или околонулевой рентабельностью
markettwits/374888,2026-06-22T05:49:35Z,commodities,not_company_specific,0,medium_term,,WHEAT,3,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,796,0.000173,🇷🇺 #зерно #пшеница #россия #интервенции Эксперты не видят оснований для интервенций на рынке зерна в 2026 г — Ведомости Последний раз зерно из федерального интервенционного фонда продавалось почти год назад.
markettwits/374889,2026-06-22T05:51:31Z,other,neutral,0,unclear,,,3,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,94,7.5e-05,🇬🇧 #выборы #британия Стармер может объявить о сроках своего ухода утром 22 июня. Уже началась предварительная подготовка к возможной передаче власти — The Guardian
markettwits/374890,2026-06-22T05:53:30Z,macro_rates,mixed,0,unclear,,,8,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,775,0.00017,⚠️ 🇺🇸 #дкп #сша #прогноз Оценка вероятности повышения ставки ФРС в этом году выросла на платформе на Kalshi до 55%
markettwits/374891,2026-06-22T06:00:36Z,macro_rates,mixed,0,unclear,,,6,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,816,0.000176,🇺🇸 #акции #облигации #сша Стремительно растет отрицательная корреляция между акциями США и доходностями гособлигаций — данные BBG что указывает на рост чувствительности акций к ожиданиям повышения ставки...
markettwits/374892,2026-06-22T06:08:41Z,company_event,positive,2,medium_term,ROLO,ROLO,3,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,383,0.000115,"🇷🇺 #ROLO #олово Русолово в 2029 г выведет на полную мощность Амурский металлургический комбинат Русолово к 2028 г увеличит мощности двух фабрик, Правоумийской и Солнечной в 1,6 раза Потребность РФ в олове к..."
markettwits/374893,2026-06-22T06:17:43Z,equity_flows,neutral,0,intraday,IMOEX,IMOEX,2,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,454,0.000125,🇷🇺 #акции #россия IMOEX тестирует 2400
markettwits/374894,2026-06-22T06:20:51Z,geopolitics,not_company_specific,0,unclear,,,5,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,315,0.000106,⚠️ 🇮🇷 #иран #геополитика Израиль отказывается выводить войска из южных районов Ливана - повторяет Нетаньяху и министр обороны Кац
markettwits/374895,2026-06-22T06:26:58Z,commodities,positive,1,unclear,,COAL,5,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,568,0.000141,🇷🇺 🇮🇳 #уголь #россия #индия Поставки энергетического угля из России в Индию выросли на 16% за пять месяцев — Ъ Импорт энергетического угля Индией упал до 4-летнего минимума на фоне роста производства...
markettwits/374896,2026-06-22T06:28:37Z,geopolitics,not_company_specific,0,short_term,,,5,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,441,0.000123,"⚠️ 🇹🇼 #тайвань #геополитика Тайвань на этой неделе проведет пятидневные учения по обеспечению ""немедленной боевой готовности"""
markettwits/374897,2026-06-22T06:30:48Z,equity_flows,positive,2,intraday,NIKKEI,NIKKEI,5,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,730,0.000164,💥 🇯🇵 #акции #япония NIKKEI = рекорд
markettwits/374898,2026-06-22T06:33:17Z,macro_rates,negative,-2,intraday,RGBI,RGBI,8,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,603,0.000146,"⚠️ 🇷🇺 #облигации #россия #офз ИНДЕКС ОФЗ (RGBI) < 117 ЦБ не опустит ключевую ниже 12% к концу года — аналитики, опрос Известия"
markettwits/374899,2026-06-22T06:42:50Z,company_event,positive,1,unclear,000660KR;005930KR,000660KR;005930KR,5,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,647,0.000152,💥 🇰🇷 #000660KR #акции #юкорея #макро Производитель чипов SK Hynix обогнал Samsung Electronics и стала самой дорогой компанией Южной Кореи
markettwits/374900,2026-06-22T06:45:33Z,commodities,negative,-1,long_term,,SUGAR,6,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,366,0.000113,"🚫 🇮🇳 #сахар #индия Индия, вероятно, не будет экспортировать сахар в течение многих лет из-за Эль-Ниньо и сокращения поставок этанола — RTRS"
markettwits/374901,2026-06-22T06:49:28Z,sector_trend,neutral,0,unclear,,CHINA_AUTO,3,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,536,0.000137,"🇨🇳 #nev #африка #китай #авто Глобальный энергетический кризис, вызванный войной на Ближнем Востоке, значительно увеличил спрос на электромобили в Африке, что стало стимулом для Китая, доминирующего на рынке..."
markettwits/374902,2026-06-22T06:58:22Z,geopolitics,not_company_specific,0,unclear,,OIL,3,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,332,0.000108,"🛢 🇮🇷 #ормуз #иран Глава Комиссии по национальной безопасности иранского парламента Ибрахим Азизи заявил, что Ормузский пролив — это суверенные воды Ирана, и окончательное решение по проливу остается за Ираном."
markettwits/374903,2026-06-22T07:05:23Z,company_event,positive,2,unclear,VTBR,VTBR,4,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,394,0.000117,🇷🇺 #VTBR WB банк запустил первый сервис кредитования для физических лиц.
markettwits/374904,2026-06-22T07:07:45Z,crypto,negative,-1,unclear,,CRYPTO,7,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,366,0.000113,⚠️ ✴️ #хак #крипто Потери MEV-бота JaredFromSubway от взлома превысили $15 млн
markettwits/374905,2026-06-22T07:11:38Z,crypto,neutral,0,unclear,,CRYPTO,3,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,307,0.000105,✴️ 🇵🇭 #rwa #филиппины #крипто Финрегулятор Филиппин объявил о готовности страны к токенизации реальных активов (RWA)
markettwits/374906,2026-06-22T07:15:22Z,equity_flows,negative,-2,unclear,IMOEX,IMOEX,6,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,539,0.000137,"⚠️ 🇷🇺 #акции #россия IMOEX очень не хочет опускаться ниже 2400, но ""Дух Эвиана"" может помешать — источники"
markettwits/374907,2026-06-22T07:17:41Z,geopolitics,not_company_specific,0,short_term,,,3,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,405,0.000118,🇮🇷 #иран #геополитика Иранская делегация направляется в Тегеран после переговоров в Швейцарии — IRNA Технические команды США и Ирана до конца недели продолжат консультации в Швейцарии — совместное заявление...
markettwits/374908,2026-06-22T07:25:03Z,company_event,positive,2,unclear,DOMRF,DOMRF,6,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,761,0.000168,💥 🇷🇺 #DOMRF НКР присвоило акциям ДОМРФ некредитный рейтинг на уровне «пять звёзд»
markettwits/374909,2026-06-22T07:26:08Z,equity_flows,negative,-2,intraday,IMOEX,IMOEX,5,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,447,0.000124,⚠️ 🇷🇺 #акции #россия IMOEX < 2400
markettwits/374910,2026-06-22T07:30:01Z,equity_flows,positive,1,unclear,,CHINA_AI,6,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,574,0.000142,"💥 🇨🇳 #ии #акции #китай Июнь стал месяцем ралли китайских ии-акций ранее власти объявляли, что Китай значительно увеличит финансовую поддержку для стимулирования развития и потребления/использования ИИ в стране"
markettwits/374911,2026-06-22T07:33:11Z,geopolitics,not_company_specific,0,unclear,,,5,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,590,0.000144,"⚠️ 🇮🇷 #иран #геополитика КСИР: если Израиль не уйдет из южного Ливана, его ждет поражение"
markettwits/374912,2026-06-22T07:37:12Z,regulation,neutral,0,unclear,,,3,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,780,0.000171,"🇰🇿 #казахстан #рейтинг Fitch подтвердило рейтинг Казахстана на уровне ""BBB"", прогноз - стабильный"
markettwits/374913,2026-06-22T07:52:40Z,equity_flows,positive,2,intraday,IMOEX,IMOEX,4,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,446,0.000124,💥 🇷🇺 #акции #россия IMOEX > 2400
markettwits/374914,2026-06-22T07:56:46Z,geopolitics,not_company_specific,0,intraday,,,3,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,536,0.000137,🇮🇷 #иран #геополитика Технические переговоры США -Иран стартуют сегодня в Швейцарии Переговоры будут посвящены механизмам реализации меморандума о взаимопонимании между США и Ираном и формированию...
markettwits/374915,2026-06-22T08:02:25Z,company_event,positive,2,short_term,ZAYM,ZAYM,7,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,811,0.000175,❗️ 🇷🇺 #ZAYM #дивиденд акционеры ЗАЙМЕР одобрили дивиденды 1кв 2026г 4.36 РУБ/АКЦ отсечка - 30 июня
markettwits/374916,2026-06-22T08:06:26Z,geopolitics,not_company_specific,0,unclear,,,6,1.0,0,0,7,retrieve_policy_context;find_company_mentions;classify_topic;extract_instruments;infer_impact;structured_offline_analysis;offline_judge,152,8.3e-05,⚠️ 🇺🇸 🇮🇹 #сша #италия В Италии опасаются санкций со стороны США после конфликта Трампа и Мелони — La Repubblica
